lemat;nachechowanie
abstrakcyjny;- s
adorator;amb
afektowany;- s
afera;- m
agonia;- s
agresja;- m
agresywnoœæ;- m
agresywny;- m
akceptowalny;amb
aktorzyna;- m
aktywista;amb
aleja sztywnych;- m
alienacja;- s
alma mater;+ s
aluzyjny;- s
ambicja;amb
pragnienie;amb
ambitny;+ m
ambitny;+ s
anio³;+ m
antagonizm;- m
antypatia;- m
apatyczny;- s
apetyczny;+ s
aprobuj¹cy;+ s
archaiczny;- s
arogancki;- m
arystokratyczny;+ s
as;+ m
asysta;+ s
atakowaæ;- m
atakuj¹cy;amb
atmosfera;amb
atrakcja;+ s
atrakcyjny;+ m
autentyczny;+ m
autentyzm;+ s
autonomia;+ s
autonomiczny;+ s
autorytet;+ m
awantura;- m
awanturnictwo;- m
awaria;- s
awersja;- m
azyl;+ s
baba;- m
babie lato;+ s
babsko;- m
babsztyl;- m
baczny;+ s
badaæ;+ s
balanga;amb
balast;- m
baran;- m
bariera;- s
bawiæ siê;- m
bawiæ siê;- s
bêcwa³;- m
bêkart;- m
berbeæ;amb
berbeæ;+ s
bezb³êdny;+ m
bezcelowy;- s
bezcenny;+ m
bezceremonialnoœæ;- s
bezczelny;- m
bezczynny;- s
bezczynny;- m
bezdomnoœæ;- s
bezdomnoœæ;- m
bezgrzeszny;+ m
bezinteresowny;+ m
bezkompromisowy;amb
bezkonfliktowy;+ s
bezkresny;amb
bezkrwistoœæ;- s
bezlitosny;- m
bezludzie;- s
bezmyœlny;- m
beznadziejny;- m
beznamiêtny;amb
bezpieczeñstwo;+ m
bezpieczny;+ s
bezpodstawny;- m
bezpoœredni;amb
bezpoœrednioœæ;amb
bezprawny;- m
bezproduktywny;- m
bezp³atny;+ s
bezradny;- s
bezsilny;- s
bezskuteczny;- m
bezstronnoœæ;+ s
bezstronny;+ s
beztroski;- m
bezu¿yteczny;- s
bezwartoœciowy;- m
bezzw³oczny;+ s
biæ;- s
bieda;- s
bieda;- m
biedak;- m
biedny;- s
bierny;- s
bies;- m
niezawodnoœæ;+ m
bladoœæ;amb
bliŸni;+ s
bogactwo;+ m
bogaty;amb
bohaterski;+ m
bójka;- s
ból;- m
bol¹czka;- s
bolesny;- m
braæ górê;amb
brak;amb
brak;- s
brakowaæ;- s
braterstwo;+ m
brawurowy;amb
broniæ;+ s
brud;- s
brudny;- s
brutalny;- m
brzd¹c;amb
brzd¹c;+ s
brzydki;- m
buduj¹cy;+ m
burak;- s
butny;amb
butny;- m
butny;- s
byd³o;- m
bystroœæ;+ m
bystry;+ m
b³agalny;- s
b³êdny;- s
b³yskawiczny;+ s
b³yskotliwy;+ m
celny;+ m
celowy;amb
ceniony;+ m
cenny;+ m
chaos;- s
chaotyczny;- s
charakter;amb
charakterystyczny;amb
chciwy;- m
chêæ;amb
chêtka;+ s
chêtny;+ s
che³pliwy;- s
chlubny;+ m
chodziæ;+ s
chorobliwy;- m
chorowity;- s
chowaæ;+ s
chroniæ;+ s
chroniæ;amb
chudzielec;- s
chytry;amb
ch³odny;- s
ch³op;- s
ch³op;amb
ciasnota;- s
ciasny;- s
ciekawiæ siê;amb
ciekawiæ siê;+ s
ciekawoœæ;amb
ciekawy;+ m
ciemna masa;- m
ciep³o;+ s
cierpi¹cy;- s
cierpieæ;- m
cierpki;- s
cierpliwoœæ;+ m
cierpliwy;+ m
cierpliwy;+ s
cieszyæ siê;+ m
cieszyæ siê;+ s
ciê¿ki;amb
ci¿ba;- m
ci¿ba;- s
ckliwy;amb
cnotliwy;amb
cofaæ;amb
cofn¹æ;amb
córcia;+ m
córeczka;+ m
córeñka;+ m
córuchna;+ m
córunia;+ m
cudny;+ m
cudownoœæ;+ m
cudowny;+ m
cudzy;- s
æwieræinteligent;- m
cymba³;- m
cywilizacja;amb
czarny;- s
czart;- m
czaruj¹cy;+ m
czcigodny;+ s
czczoœæ;- m
czekaæ;amb
czelnoœæ;- m
czort;- m
czo³ówka;amb
czujny;+ s
czuwaæ;+ s
czu³ostkowy;- s
czu³y;+ s
czynny;+ s
cz³owieczeñstwo;+ m
cz³owiek interesu;+ s
darczyñca;+ s
daremny;- s
darmowy;+ s
darowizna;+ s
datek;+ s
dba³oœæ;+ s
decyduj¹cy;+ s
defekt;- s
deficyt;- s
delikatnoœæ;amb
delikatny;amb
demaskator;+ s
denerwowaæ siê;- s
desperacja;- m
determinacja;amb
determinacja;+ s
dobitny;amb
dobro;+ m
dobrobyt;amb
dobroczyñca;+ m
dobroduszny;+ s
dobrodziej;+ s
dobrodziej;+ m
dobry;+ m
dobry duch;+ m
dochodowy;+ m
dociekliwy;amb
doczekaæ;+ s
doczekaæ;amb
doczekaæ siê;+ s
doczekaæ siê;amb
dodatkowy;+ s
dogl¹daæ;+ s
dogodny;+ s
